country_standard,transparency_index_2019,transparency_index_mean,budget_participation_index,budget_participation_index_noNA,budget_transparency_index,budget_transparency_index_noNA,pandemic_dem_violation_index,covid_index,gdp,gini,gdp_percap,gdp_percap_ppp_covid,percap_domestic_health_expenditure,percap_domestic_health_expenditure_ppp,median_age,aged_65_older
Barbados,0.9251971201770302,0.9209059851791499,0,NA,0,NA,NA,0.007436247885328989,5209000000,NA,18148.2449264001,16330.8876795581,521.43029785,539.00128174,39.8,14.952
Belarus,0.11241790426740136,0.09790094062769779,0,NA,0,NA,0.5,0.7215301686405675,63080457022.6599,25.2,6663.29529282582,19997.0577636148,250.84080505,797.38653564,40.3,14.799
Belgium,0.9544776873144672,0.9535761782538187,0,NA,0,NA,0.14285714285714288,0.7881267933416108,533097455834.509,27.4,46420.6637668061,56348.5136836421,3723.06762695,4096.09082031,41.8,18.571
Belize,0.851129284893106,0.8601920963570477,0,NA,0,NA,NA,0.0028626567586693664,1879613600,NA,4815.1637107951,7314.63199191617,196.18196106,347.32620239,25,3.853
Benin,0.7968699638025472,0.8198221342099546,0,NA,0,NA,0.35714285714285715,0.026105009740092132,14390709094.9386,47.8,1219.43267185875,3432.78130027653,6.09126854,16.38282776,18.8,3.244
Bermuda,NA,NA,0,NA,0,NA,NA,NA,7484113000,NA,117089.286273037,85417.6290253552,NA,NA,NA,NA
Bhutan,0.5476968051872972,0.4453277188901412,0,NA,0,NA,NA,0.8010229022204954,2530547157.56678,37.4,3316.17571350084,12355.7935697174,81.72798157,256.22729492,28.6,4.885
Bolivia,0.5242478296251176,0.5323982647348763,0,NA,0,NA,0,0.405951660162853,40895322843.7851,42.2,3552.0687602631,9110.55582043167,159.13116455,353.0602417,25.4,6.704
Bosnia & Herzegovina,0.5109128067613069,0.5260739076170531,0.5,0,0,NA,0.5,0.5806354692889091,20164193806.88,33,6108.51069581338,16288.8302196838,376.87268066,908.59094238,42.5,16.569
Botswana,0.8504279240203633,0.843143513415086,0,NA,0,NA,0,0.0065033975545645975,18340480936.0444,53.3,7961.32518123885,18552.7532590413,374.17907715,843.50067139,25.8,3.941
Brazil,0.8280149764810036,0.84445969243683106,1,1,1,1,0.4285714285714286,0.2900151739529332,1839758040765.62,53.9,8717.18627810819,15299.9872589341,353.53921509,637.92169189,33.5,8.552
Brunei,0.1683925496193813,0.18675896439253756,0,NA,0,NA,NA,0.026786239425959892,13469422958.5105,NA,31086.7511188028,64847.6517376043,726.06939697,1857.6505127,32.4,4.591
Bulgaria,0.8330124892434415,0.8420753174918283,0.5,0,0.6666666666666666,0.5,0.28571428571428575,0.6072111999552904,68558815111.6199,40.4,9828.14851478139,25312.0802278685,397.63748169,941.66809082,44.7,20.801
Burkina Faso,0.5132818362893085,0.5097199046584361,0.5,0,0.3333333333333333,0,0.14285714285714288,0.02561515461482692,15990803569.9961,35.3,786.895631290168,2274.71973639652,17.10899734,47.48747635,17.6,2.409
Burundi,0.0746897134166174,0.31099202536143994,0,NA,0,NA,0.35714285714285715,0.11577624835306734,3012334881.64057,38.6,261.247472515742,784.92698867139,5.90400934,16.16786575,17.5,2.562
