country_standard,transparency_index_2019,transparency_index_mean,budget_participation_index,budget_participation_index_noNA,budget_transparency_index,budget_transparency_index_noNA,pandemic_dem_violation_index,covid_index,gdp,gini,gdp_percap,gdp_percap_ppp_covid,percap_domestic_health_expenditure,percap_domestic_health_expenditure_ppp,median_age,aged_65_older
Oman,0.14527352601233962,0.15360860020940117,0,NA,0,NA,0.5,0.004398660967023026,76331518668.5771,NA,15343.0620043106,28507.4762166219,594.52893066,1516.09521484,30.7,2.355
Pakistan,0.4314255674931488,0.2973946281171983,0.5,0,0.3333333333333333,0,0.35714285714285715,0.3494838522503868,278221906022.841,33.5,1284.70204090039,4898.0505701722,15.23525143,63.33958435,23.5,4.495
Pakistan,0.1814255674931488,0.2973946281171983,0.5,0,0.3333333333333333,0,0.35714285714285715,0.3494838522503868,278221906022.841,33.5,1284.70204090039,4898.0505701722,15.23525143,63.33958435,23.5,4.495
Palau,0.9205564449654986,0.9323399833778026,0,NA,0,NA,NA,NA,268354919.433594,NA,14901.9835314079,18357.3953698711,1015.28155518,1184.97790527,NA,NA
Palestinian Territories,0.16108211427348662,0.20077672551717615,0,NA,0,NA,NA,0.00344295087596897,16276600000,33.7,3562.33094270256,6495.20926722616,NA,NA,20.4,3.043
Panama,0.8622365026738964,0.8532249395777323,1,1,0.6666666666666666,0.5,0.35714285714285715,0.6952695728962494,66800800000,49.2,15731.0160348471,32850.8193505311,723.15667725,1186.46801758,29.7,7.918
Papua New Guinea,0.5446456445772732,0.539141505643959,0,NA,0,NA,0.35714285714285715,0.04272697089490248,24829107011.0701,41.9,2829.17030896837,4547.56376486565,44.66556931,70.93900299,22.6,3.808
Paraguay,0.5456453518012596,0.5249692662986658,1,1,0.6666666666666666,0.5,0.5714285714285715,0.48470267628975916,38145288939.8488,46.2,5414.79913793258,13246.4617553151,175.20637512,409.28713989,26.5,6.378
Peru,0.8208394668467991,0.8062737817093275,0.5,0,0.6666666666666666,0.5,0.2142857142857143,0.4476090497175025,226848050819.525,42.8,6977.69578355382,13416.4366277108,231.09837341,480.02911377,29.1,7.151
Philippines,0.5392329242578335,0.5370282736254474,1,1,0.6666666666666666,0.5,0.5714285714285715,0.4395614303632581,376795508678.853,44.4,3485.08421835861,9302.38529765549,44.58437729,128.62251282,25.2,4.803
Poland,0.8716837480846085,0.8999783559660707,0,NA,0,NA,0.35714285714285715,0.614286291887516,595858207011.512,29.7,15692.5070255563,35165.2048832926,695.74816895,1432.59472656,41.8,16.763
Portugal,0.93839215620186,0.9278893658525218,0.5,0,0.3333333333333333,0,0,0.7836575177007163,238785085030.988,33.8,23252.0585181211,37918.4468646931,1361.25512695,1992.47058105,46.2,21.502
Puerto Rico,0.836144577166534,0.8840528475700877,0,NA,0,NA,NA,NA,104988600000,NA,32873.7192730424,36045.1049024087,NA,NA,NA,NA
Qatar,0.12622602806543268,0.15313107573642198,0,NA,0,NA,0.5,0.7286871782005203,175837550996.185,NA,62088.0618276987,94028.5976845505,1281.5213623,2363.9206543,31.9,1.307
Réunion,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,0.8453812724498372,0.8415005839036253,0.5,0,1,1,0.14285714285714288,0.6446773606443813,250077444017.084,36,12919.5296441908,33339.9351488601,547.67791748,1256.1640625,43,17.85
Russia,0.14974106782083252,0.16305272195024173,0,NA,0,NA,0.5,0.7785960613166112,1699876578871.35,37.5,11584.9953826104,29181.3632177676,362.0960083,884.90240479,39.6,14.178
Rwanda,0.1522974924702412,0.13614364728182612,0,NA,0,NA,0.28571428571428575,0.45162248330469734,10354417725.1555,43.7,820.025241658159,2325.40791678753,18.35476875,53.45846176,20.3,2.974
Samoa,0.8777852657493446,0.8596698606521738,0,NA,0,NA,NA,NA,852250190.985485,38.7,4324.01401840457,6795.6840725026,164.14190674,256.46032715,22,5.606
San Marino,0.9327521682008032,0.931260858929521,0,NA,0,NA,NA,0,1655300872.53427,NA,48995.1420019023,60886.4858583857,2907.13183594,3642.65698242,NA,NA
São Tomé & Príncipe,0.8315127733981742,0.8144971958158361,0,NA,0,NA,NA,0.0075843447307086705,418637388.988052,56.3,1946.64361370086,4145.22703770579,55.12792206,94.04404449,18.7,2.886
Saudi Arabia,0.08595584521343602,0.06634412097019478,0,NA,0,NA,0.8571428571428572,0.6833472906143496,792966838161.659,NA,23139.7986561214,49040.3429456877,926.95068359,2197.76025391,31.9,3.295
Senegal,0.8176432077937532,0.720524160952667,0.5,0,0.3333333333333333,0,0.35714285714285715,0.2710649869848189,23578084052.0147,40.3,1446.83096499408,3545.10033995315,14.00303841,34.80200577,18.7,3.008
Serbia,0.5387937989898955,0.7925007011196913,0.5,0,0.6666666666666666,0.5,0.8571428571428572,0.6942331701693433,51475016532.1293,36.2,7411.83611634734,19495.1360196456,366.35211182,881.40673828,41.2,17.366
Seychelles,0.5769344559794436,0.5470462071411266,0,NA,0,NA,NA,0.005628520383903059,1703387387.32319,46.8,17448.2702926831,30516.6772624267,620.39160156,1153.51745605,36.2,8.606
Sierra Leone,0.5236146028626112,0.525503876432702,0.5,0,0.6666666666666666,0.5,0.35714285714285715,0.024254426245558597,4121733705.29165,35.7,527.533634399111,1794.31480252607,8.33168507,24.99506378,19.1,2.538
Singapore,0.5128776825235941,0.514676896473316,0,NA,0,NA,0.4285714285714286,0.8712678354848019,372062527488.638,NA,65233.2824392302,101649.074863026,1421.57092285,2234.97265625,42.4,12.922
Slovakia,0.8979386738799051,0.9011062944910295,1,1,0.6666666666666666,0.5,0.4285714285714286,0.9904614560722106,105079673009.733,25.2,19266.2754990139,33515.8872607082,1030.03820801,1727.04980469,41.2,15.07
Slovenia,0.9098390641889471,0.9113154206264638,0,NA,0,NA,0.28571428571428575,0.8037915668643828,54174227308.8862,24.2,25946.1821852127,42431.1981582698,1570.96789551,2286.95141602,44.5,19.062
Solomon Islands,0.8593165023827554,0.6146600324854022,0,NA,0,NA,NA,NA,1589913622.23799,37.1,2373.63247042576,2780.63775054572,75.07428741,85.08787537,20.8,3.507
Somalia,0.059007370717297766,0.04381126679152425,0,NA,0,NA,0.5714285714285715,0.020577838099461728,NA,NA,NA,NA,NA,NA,16.8,2.731
Somaliland,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,0.8682437223637693,0.8618239215475784,1,1,1,1,0.5,0.5375225905782972,351431649241.439,63,6001.40081394888,13034.1646607991,284.27764893,610.4276123,27.3,5.344
South Korea,0.5146501922535766,0.6917763063284583,0.5,0,0.6666666666666666,0.5,0.14285714285714288,0.5250282874293575,1646739219509.89,31.6,31846.2182324258,44011.2315131667,1486.45007324,1878.6048584,43.4,13.914
South Korea,0.8807992991666772,0.6917763063284583,0.5,0,0.6666666666666666,0.5,0.14285714285714288,0.5250282874293575,1646739219509.89,31.6,31846.2182324258,44011.2315131667,1486.45007324,1878.6048584,43.4,13.914
South Sudan,0.04178665944673555,0.07634361139108992,0,NA,0,NA,0.2142857142857143,0.15099643941193397,11997800760.2242,46.3,1119.65133267823,1234.72546042266,2.88673401,12.26207829,19.2,3.441
Spain,0.9194689765675481,0.9184803952797541,0,NA,0.6666666666666666,0.5,0.28571428571428575,0.7626737062304323,1393490524517.64,34.7,29600.3782526602,43495.9444077679,1926.46105957,2517.96728516,45.5,19.436
Sri Lanka,0.5302522595180581,0.4909946900176396,0,NA,0.6666666666666666,0.5,1,0.4856150008980225,84008783756.068,39.8,3853.08369288942,13656.8370383651,64.70568085,212.41278076,34.1,10.069
St. Kitts & Nevis,0.8897384875678247,0.9153928222704925,0,NA,0,NA,NA,NA,1053244444.44444,NA,19934.9745323929,27608.1349934729,461.74502563,723.63128662,NA,NA
St. Lucia,0.9000559828877488,0.9207364646720084,0,NA,0,NA,NA,0.00514725645608918,2122450629.62963,51.2,11611.4154473966,16132.4145175205,219.59150696,288.49301147,34.9,9.721
St. Vincent & Grenadines,0.8999863573067788,0.9109342485832227,0,NA,0,NA,NA,0.008371249237038364,824718518.518518,NA,7457.50950382514,13037.681093997,224.6751709,375.03771973,31.8,7.724
Sudan,0.08360470012882634,0.07017224036970851,0,NA,0,NA,0.5,0.01711064095137778,30513456084.7961,34.2,441.505603374484,4122.52668491946,13.74672318,66.94773102,19.7,3.548
Suriname,0.8336127624630094,0.8389198560123325,0,NA,0,NA,NA,0.00538693581830243,3697371949.58434,NA,6359.83361442737,17256.02044768,312.59576416,777.74743652,29.6,6.933
Sweden,0.9820165778710936,0.9802346234350885,0.5,0,1,1,0.14285714285714288,0.0012323085002964014,530883869004.977,28.8,51615.0206514946,56632.1398417253,5089.96289063,4959.51904297,41,19.985
Switzerland,0.9740804097706259,0.9783848424831981,0,NA,0,NA,0,0.7155409312878749,703082435158.864,32.7,81993.72712595,72376.0239525675,3081.69750977,2533.2355957,43.1,18.436
Syria,0.04116136074285094,0.05778171986992853,0,NA,0,NA,NA,0.015168894537169589,40405006007.2086,NA,2032.62348932701,NA,31.62370872,72.26770782,21.7,NA
Taiwan,0.9084177902012994,0.8927046296386419,0,NA,0,NA,0,0.1718014021864961,NA,NA,NA,NA,NA,NA,42.2,NA
Tajikistan,0.05970839318600657,0.09984052918644969,0,NA,0,NA,0.4285714285714286,0.020864867661981895,8116626794.25837,34,870.787589323223,3529.31112569977,16.18490219,67.54522705,23.3,3.466
Tanzania,0.47333235222656567,0.5081576747504835,0,NA,0,NA,0.4285714285714286,0.14989439084728304,63177068174.549,40.5,1122.12181047515,2770.68117187672,15.81463623,48.29768372,17.7,3.108
Thailand,0.18341001774435747,0.3430092150132181,0,NA,0,NA,0.35714285714285715,0.3807194681557905,543548969968.693,36.4,7806.74221105532,19276.8963300209,210.44873047,551.21984863,40.1,11.373
Timor-Leste,0.8327468637977897,0.593484170804936,0,NA,0,NA,NA,NA,2017924900,28.7,1560.50982160188,3709.81127019698,56.8204689,213.77970886,18,3.556
Togo,0.44653441322294546,0.39326039999497586,0,NA,0,NA,0.28571428571428575,0.30754991808099424,5490272413.38702,43.1,679.290249091295,1667.300515485,7.12986135,18.63717461,19.4,2.839
Tonga,0.8541214927312255,0.7030321884711153,0,NA,0,NA,NA,NA,512350059.421629,37.6,4903.15290276599,6665.74994868479,149.84962463,224.72973633,NA,NA
Trinidad & Tobago,0.8626321436405393,0.8518641150249694,0.5,0,0.3333333333333333,0,NA,0.42457118257387894,24269714809.9078,NA,17397.9817601543,27334.1839780114,553.70599365,1034.8359375,36.2,10.014
Tunisia,0.8202374244726626,0.4644462469516725,0,NA,0.6666666666666666,0.5,0.5,0.22290246791501875,38796687568.157,32.8,3317.4535932122,11231.5710195248,144.30830383,523.34558105,32.7,8.001
Turkey,0.18496113434852818,0.4596026344164547,0,NA,0,NA,0.7142857142857143,0.6812811354276799,761425499358.159,41.9,9126.56134585014,28133.0886494052,301.68682861,905.97613525,31.6,8.153
Turkmenistan,0.022452405671872365,0.019186410713628015,0,NA,0,NA,0.4285714285714286,NA,40761142857.1429,NA,6966.63541063077,15206.9619323748,83.38689423,231.05975342,NA,NA
Tuvalu,0.924040930953753,0.8950704243262689,0,NA,0,NA,NA,NA,47271463.3298575,39.1,4059.02999569444,4470.85768826787,553.09881592,605.23760986,NA,NA
U.S. Virgin Islands,NA,NA,0,NA,0,NA,NA,NA,3855000000,NA,35938.0243875154,NA,NA,NA,NA,NA
Uganda,0.20851654452040116,0.39607262568001844,0,NA,0,NA,0.8571428571428572,0.24649832569461627,35165157016.9125,42.8,794.341077917102,2284.26573573575,6.82905865,22.05761909,16.4,2.168
Ukraine,0.5423249092048401,0.6184657222596149,0.5,0,0.6666666666666666,0.5,0.2142857142857143,0.5443166554893343,153781069118.148,26.1,3659.03131229487,13341.2105189612,109.49686432,327.21499634,41.4,16.462
United Arab Emirates,0.14703163616935613,0.16183588640983268,0,NA,0,NA,0.2142857142857143,0.9953914430160349,421142267937.65,32.5,43103.3230583165,70089.3240378269,937.35998535,1636.38220215,34,1.144
United Kingdom,0.9414641999938675,0.9481086647340976,1,1,1,1,0.2142857142857143,0.8576084338928119,2829108219165.8,34.8,42330.117537005,49931.6047586808,3392.0859375,3631.15576172,40.8,18.517
United States,0.9046338589743036,0.9206507097593472,0.5,0,1,1,0.4285714285714286,0.8180894018344388,21433226000000,41.1,65297.517508274,65297.5175082743,5355.78710938,5355.78710938,38.3,15.413
Uruguay,0.9406330478452576,0.9239980427559064,0,NA,0.6666666666666666,0.5,0.2142857142857143,0.641603304584325,56045912952.9732,39.7,16190.126957465,22515.1935903221,1160.20898438,1582.8605957,35.6,14.655
Uzbekistan,0.08736355440743458,0.044176612169639085,0,NA,0,NA,0.35714285714285715,0.016307568930472582,57921286440.3495,NA,1724.8411344137,7308.41545261871,31.40143394,175.35740662,28.2,4.469
Vanuatu,0.8673764076344045,0.8501191628415602,0,NA,0,NA,NA,NA,934239973.812573,37.6,3115.35862043261,3292.54406464072,66.89446259,68.97711182,23.1,4.394
Venezuela,0.1115627713427707,0.3586872680879108,0,NA,0,NA,0.9285714285714287,0.011355652630695157,482359318767.703,46.9,16054.4905130962,17527.4477948588,122.94241333,183.49887085,29,6.614
Vietnam,0.11513005771412428,0.10815350667027504,0,NA,0,NA,0.2142857142857143,0.2934882874038554,261921244843.172,35.7,2715.27603640721,8397.02104225433,69.10861206,200.54107666,32.6,7.15
Yemen,0.0675559496594839,0.1812905439662256,0,NA,0,NA,NA,0.031209556631142447,22581081993.945,36.7,774.334489816721,3688.51984855665,7.45118046,14.31576443,20.3,2.922
Zambia,0.5001864993750618,0.5095657546303638,0,NA,0,NA,0.4285714285714286,0.4060366649684771,23309773922.7582,57.1,1305.06325350544,3624.02493904299,29.70040321,81.4677887,17.7,2.48
Zanzibar,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zimbabwe,0.39458321399428276,0.17109309306087156,0,NA,0,NA,0.5,0.27945036014180774,21440758800,44.3,1463.98591018054,2961.44642810493,39.2492218,55.3876152,19.6,2.822
